username,book_rating,user_age,book_genre,quote_or_review_text,favorite_authors_or_psychologists
david11,1,46,Fiction,More past political particular.,Brené Brown
bluna,5,48,Non-Fiction,Enough among central participant participant sell.,Sigmund Freud
qnorris,4,48,Non-Fiction,To establish position memory moment strong.,Jordan Peterson
jonathan77,4,53,Non-Fiction,Talk would campaign result some natural all.,Tony Robbins
francisco58,2,63,Fiction,Little time billion beat exist center.,Brené Brown
porterkristi,1,28,Fiction,Pull player lose treat control organization.,Eckhart Tolle
brenda95,1,50,Non-Fiction,Choice thank class reality case sound.,Dan Harris
joseph59,3,60,Self-Help,Resource film plan political.,Jordan Peterson
usmith,2,25,Non-Fiction,Station others add so agree term form far.,Brené Brown
tiffanyharmon,5,35,Self-Help,Huge cost experience join west.,Gabrielle Bernstein
molly00,3,59,Self-Help,Provide leg specific itself drug tax last how.,Eckhart Tolle
james58,1,52,Psychology,Staff pick herself top.,Gabrielle Bernstein
clinecharles,1,52,Self-Help,Adult almost Congress remember happy debate article trip.,Eckhart Tolle
lisa48,4,25,Psychology,National significant conference sound beautiful become must.,Dan Harris
michelle85,4,40,Non-Fiction,Area model suddenly agree both audience.,Brené Brown
williampeterson,3,69,Non-Fiction,Fish prepare account action fire stop participant experience.,Jordan Peterson
sbuck,1,36,Self-Help,Bit theory attorney store picture.,Gabrielle Bernstein
alvarezaudrey,2,68,Psychology,Its pick attack meet.,Gabrielle Bernstein
freemangerald,5,26,Self-Help,Section office pick model campaign.,Jordan Peterson
sheath,1,45,Non-Fiction,Occur candidate friend themselves like.,Gabrielle Bernstein
danielmartin,2,41,Fiction,Also mean wife project.,George Orwell
jessica19,5,68,Fiction,Course energy option woman charge former arm big.,Gabrielle Bernstein
zstephenson,3,41,Non-Fiction,Commercial civil beat lay technology.,Eckhart Tolle
frederick57,4,46,Self-Help,Worker particularly artist myself sure.,Dan Harris
richardsampson,5,25,Fiction,President fish fine.,Dan Harris
andrew55,1,54,Non-Fiction,Study sit buy full start.,Neil Gaiman
acrawford,2,69,Self-Help,Face maintain vote give executive animal.,Eckhart Tolle
johnsonpamela,4,51,Psychology,Company writer day.,Brené Brown
meghan11,3,70,Non-Fiction,Nature gun look chair it peace national.,Brené Brown
cheryljones,5,46,Self-Help,Common factor father success consumer.,Sigmund Freud
umiles,5,42,Non-Fiction,Before research that fight together south lead walk.,Sigmund Freud
oowens,4,51,Fiction,Local specific kitchen summer impact writer.,Sigmund Freud
ericarobertson,3,46,Psychology,Grow investment whatever hit.,Gabrielle Bernstein
jameshill,5,68,Non-Fiction,Decide investment all others.,George Orwell
yortega,1,52,Non-Fiction,Individual represent center serve do research two.,Eckhart Tolle
jessica93,5,25,Psychology,Alone some may knowledge.,Eckhart Tolle
ljohnston,5,36,Fiction,Heavy body teacher assume.,Jordan Peterson
kimberly95,4,37,Psychology,Four recognize water source kitchen question goal.,Jordan Peterson
robert44,2,59,Fiction,Former old civil financial wonder moment either.,Dan Harris
trevinoevelyn,2,38,Fiction,Day edge great.,Neil Gaiman
tvaughn,1,50,Fiction,Own whether long center our reach.,Eckhart Tolle
yhart,3,27,Psychology,Right local rule mind here worry.,Gabrielle Bernstein
stephen99,1,45,Self-Help,Choose sort through second.,Tony Robbins
pettyjerry,4,68,Self-Help,See machine whether other beautiful future.,Eckhart Tolle
melissaryan,2,53,Fiction,Quality trouble add board.,Jordan Peterson
michelle56,4,45,Fiction,Choose cover firm director.,Brené Brown
charlesowen,5,57,Non-Fiction,Food meeting dog process court might.,J.K. Rowling
michaelaustin,4,30,Psychology,Recent myself several know be ok.,Brené Brown
myerskelly,5,43,Self-Help,Edge employee way total.,Sigmund Freud
kbrown,1,55,Fiction,In life truth security.,J.K. Rowling
erin66,3,48,Non-Fiction,College laugh hand central.,George Orwell
bchapman,3,66,Fiction,Move one summer national account key.,Gabrielle Bernstein
cmaxwell,3,30,Psychology,Peace interview responsibility reality interesting suddenly.,Neil Gaiman
apeters,5,29,Non-Fiction,Phone ahead word lay painting way.,J.K. Rowling
christopher50,5,58,Psychology,Ahead something remain save.,Dan Harris
hannah17,3,53,Self-Help,Expert recent daughter age form.,Neil Gaiman
ujensen,5,43,Fiction,Than try even indeed.,Gabrielle Bernstein
tammygarner,2,43,Fiction,Watch officer pattern them a onto you.,Jordan Peterson
kathleencrosby,4,47,Psychology,News at step industry without than.,Gabrielle Bernstein
mitchell42,4,54,Fiction,Get name increase bring pressure before increase.,J.K. Rowling
jeffrey56,5,50,Self-Help,Bad car newspaper no where.,Eckhart Tolle
miranda04,2,51,Non-Fiction,Necessary serve stuff prove hard.,Tony Robbins
cnichols,3,41,Self-Help,Set large letter author both.,Tony Robbins
burkegregory,3,37,Non-Fiction,Mrs give him.,Brené Brown
douglasjoseph,1,58,Psychology,Benefit spring place full.,Tony Robbins
